Dalbavancin/Staphylococcus epidermidis: Not enough interesting isolates, 0/5 isolates were selected
Daptomycin/Staphylococcus epidermidis: Not enough interesting isolates, 0/5 isolates were selected
Teicoplanin/Staphylococcus epidermidis: Not enough interesting isolates, 4/5 isolates were selected
Vancomycin/Staphylococcus epidermidis: Not enough interesting isolates, 0/5 isolates were selected
Dalbavancin/Staphylococcus hominis: Not enough interesting isolates, 0/5 isolates were selected
Daptomycin/Staphylococcus hominis: Not enough interesting isolates, 0/5 isolates were selected
Linezolid/Staphylococcus hominis: Not enough interesting isolates, 4/5 isolates were selected
Rifampicin/Staphylococcus hominis: Not enough interesting isolates, 2/5 isolates were selected
Teicoplanin/Staphylococcus hominis: Not enough interesting isolates, 1/5 isolates were selected
Vancomycin/Staphylococcus hominis: Not enough interesting isolates, 0/5 isolates were selected
Dalbavancin/Staphylococcus capitis: Not enough interesting isolates, 0/5 isolates were selected
Daptomycin/Staphylococcus capitis: Not enough interesting isolates, 0/5 isolates were selected
Linezolid/Staphylococcus capitis: Not enough interesting isolates, 0/5 isolates were selected
Rifampicin/Staphylococcus capitis: Not enough interesting isolates, 4/5 isolates were selected
Teicoplanin/Staphylococcus capitis: Not enough interesting isolates, 0/5 isolates were selected
Tetracycline/Staphylococcus capitis: Not enough interesting isolates, 2/5 isolates were selected
Trimethoprim-sulfamethoxazole/Staphylococcus capitis: Not enough interesting isolates, 0/5 isolates were selected
Vancomycin/Staphylococcus capitis: Not enough interesting isolates, 0/5 isolates were selected
Staphylococcus haemolyticus: Not enough isolates in first selection, 4/5 isolates were selected
Ciprofloxacin/Staphylococcus warneri: Not enough interesting isolates, 0/5 isolates were selected
Clindamycin/Staphylococcus warneri: Not enough interesting isolates, 0/5 isolates were selected
Dalbavancin/Staphylococcus warneri: Not enough interesting isolates, 0/5 isolates were selected
Daptomycin/Staphylococcus warneri: Not enough interesting isolates, 0/5 isolates were selected
Erythromycin/Staphylococcus warneri: Not enough interesting isolates, 0/5 isolates were selected
Linezolid/Staphylococcus warneri: Not enough interesting isolates, 0/5 isolates were selected
Rifampicin/Staphylococcus warneri: Not enough interesting isolates, 0/5 isolates were selected
Teicoplanin/Staphylococcus warneri: Not enough interesting isolates, 0/5 isolates were selected
Tetracycline/Staphylococcus warneri: Not enough interesting isolates, 0/5 isolates were selected
Vancomycin/Staphylococcus warneri: Not enough interesting isolates, 0/5 isolates were selected
Cefoxitin/Staphylococcus aureus: Not enough interesting isolates, 0/5 isolates were selected
Ceftaroline/Staphylococcus aureus: Not enough interesting isolates, 1/5 isolates were selected
Ceftobiprole/Staphylococcus aureus: Not enough interesting isolates, 1/5 isolates were selected
Cefoxitin/Staphylococcus lugdunensis: Not enough interesting isolates, 0/5 isolates were selected
Dalbavancin/Staphylococcus lugdunensis: Not enough interesting isolates, 0/5 isolates were selected
Daptomycin/Staphylococcus lugdunensis: Not enough interesting isolates, 0/5 isolates were selected
Linezolid/Staphylococcus lugdunensis: Not enough interesting isolates, 0/5 isolates were selected
Rifampicin/Staphylococcus lugdunensis: Not enough interesting isolates, 1/5 isolates were selected
Teicoplanin/Staphylococcus lugdunensis: Not enough interesting isolates, 0/5 isolates were selected
